word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
tono	9315	-5.24	18	23	880	118	0	0	0	4
himno	9301	-6.74	0	1	556	82	0	0	0	5
cientos	9300	-5.74	6	7	2537	116	0	0	0	7
doctrina	9295	-10.06	0	0	1263	109	0	0	0	8
alicante	9293	-6.47	0	0	1894	242	0	0	0	8
causó	9285	-6.21	2	3	2537	550	0	0	0	5
ramírez	9276	-10.65	0	0	1162	111	0	0	0	7
variante	9270	-7.41	0	0	605	110	0	0	0	8
incluir	9269	-7.39	2	2	818	551	0	0	0	7
considerable	9268	-10.53	0	0	2537	1146	0	0	0	12
anime	9268	-6.9	4	4	1894	200	0	0	0	5
progreso	9267	-7.58	0	0	1810	579	0	0	0	8
fronteras	9260	-7.92	0	0	756	119	0	0	0	9
columbia	9258	-7.63	0	0	2537	1146	0	0	0	8
cerámica	9250	-8.62	0	0	2537	140	0	0	0	8
nobles	9247	-6.18	4	5	435	116	0	0	0	6
sociedades	9244	-10.44	0	0	1300	177	0	0	0	10
batallas	9243	-7.77	0	1	691	202	0	0	0	8
proteínas	9240	-10.06	0	0	1810	579	0	0	0	9
intentar	9239	-6.31	0	1	818	551	0	0	0	8
tendrá	9229	-7.04	0	1	880	218	0	0	0	6
abuelo	9227	-7.67	2	3	1894	94	0	0	0	6
gloria	9223	-6.64	0	0	571	25	0	0	0	6
presentaciones	9212	-9.77	0	0	1810	579	0	0	0	14
ministros	9210	-7.79	0	0	1238	160	0	0	0	9
encontramos	9194	-10.34	0	0	1421	237	0	0	0	11
bill	9190	-4.95	16	17	691	59	0	0	0	4
cima	9187	-5.68	8	12	2537	116	0	0	0	4
perdiendo	9184	-7.46	0	0	1810	287	0	0	0	9
tormenta	9181	-6.9	0	0	880	118	0	0	0	8
hijas	9180	-5.51	6	7	556	82	0	0	0	5
aparentemente	9179	-9.81	0	0	1894	143	0	0	0	13
ligas	9179	-5.37	4	5	673	165	0	0	0	5
compromiso	9177	-9.15	0	0	2537	1146	0	0	0	10
defender	9173	-8.06	0	0	1263	619	0	0	0	8
frecuentes	9169	-8.4	0	0	756	119	0	0	0	10
cuartel	9169	-7.9	0	1	2537	160	0	0	0	7
insectos	9165	-6.82	0	1	818	551	0	0	0	8
habitación	9164	-7.54	0	0	556	150	0	0	0	10
nieto	9163	-6.69	2	4	435	49	0	0	0	5
disciplina	9161	-10.55	0	0	1263	352	0	0	0	10
carreteras	9159	-8.94	0	0	2537	550	0	0	0	10
