word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
screenwriter	14621	-12.9	0	0	2051	114	0	0	0	12
fortified	14619	-7.79	0	0	845	150	0	0	0	9
jorge	14612	-5.95	4	4	260	66	0	0	0	5
php	14611	-5.14	12	15	1506	69	0	0	0	3
shoots	14609	-6.21	2	4	2051	183	0	0	0	6
disco	14608	-5.99	4	5	1141	300	0	0	0	5
desperate	14604	-8.6	0	0	1141	409	0	0	0	9
buck	14604	-4.96	14	16	1130	131	0	0	0	4
roberto	14603	-8.77	2	3	1209	164	0	0	0	7
reviewer	14600	-8.16	0	0	1209	698	0	0	0	8
gp	14596	-4.55	58	63	626	2	2	2	2	2
patents	14592	-5.74	2	4	1506	291	0	0	0	7
airs	14591	-4.93	4	11	1427	37	0	0	0	4
cnn	14589	-5.73	10	11	1993	2	0	0	0	3
storms	14588	-5.7	2	3	2051	326	0	0	0	6
sinking	14582	-6.63	4	4	2051	147	0	0	0	7
lowland	14581	-7.42	2	3	716	138	0	0	0	7
sidney	14579	-6.98	4	4	2051	147	0	0	0	6
isolation	14578	-8.27	0	0	747	42	0	0	0	9
pitching	14577	-6.97	0	0	1506	97	0	0	0	8
overtime	14573	-8.62	0	0	452	37	0	0	0	8
recommendation	14569	-10.18	0	0	1209	698	0	0	0	14
softball	14567	-9.55	0	0	2051	140	0	0	0	8
ingredients	14564	-10.32	0	0	747	469	0	0	0	11
wingspan	14563	-8.87	0	0	537	123	0	0	0	8
privacy	14557	-7.79	0	0	1506	440	0	0	0	7
cheap	14557	-6.51	2	3	1993	243	0	0	0	5
portrayal	14556	-9.58	0	0	1506	199	0	0	0	9
sonic	14549	-5.41	6	6	2051	140	0	0	0	5
alike	14545	-6.0	4	5	1427	150	0	0	0	5
consul	14544	-6.01	0	1	1993	876	0	0	0	6
icon	14540	-5.73	2	5	747	10	0	0	0	4
trigger	14538	-7.31	0	1	953	241	0	0	0	7
stuck	14537	-6.68	6	7	2051	326	0	0	0	5
meal	14537	-5.0	16	21	1197	188	0	0	0	4
cameo	14535	-7.01	4	5	1993	330	0	0	0	5
deciding	14534	-7.46	0	0	1141	409	0	0	0	8
rational	14534	-6.02	0	0	1209	157	0	0	0	8
transfers	14534	-8.39	0	0	953	241	0	0	0	9
sufficiently	14534	-10.28	0	0	2051	272	0	0	0	12
observe	14530	-7.67	0	3	452	43	0	0	0	7
everybody	14529	-10.52	0	0	905	48	0	0	0	9
pig	14514	-5.44	20	24	1506	97	0	0	0	3
drops	14513	-5.8	4	5	1141	77	0	0	0	5
prefer	14508	-5.33	0	2	1506	440	0	0	0	6
basically	14507	-8.05	0	0	1130	267	0	0	0	9
ar	14505	-3.14	76	100	1427	163	163	163	163	2
bo	14505	-3.79	64	75	1130	161	161	161	161	2
vowel	14503	-6.4	2	3	353	51	0	0	0	5
concerto	14502	-8.94	0	1	1993	876	0	0	0	8
notation	14499	-6.29	0	0	475	121	0	0	0	8
pike	14499	-5.25	16	19	1506	97	0	0	0	4
maharashtra	14497	-14.65	0	0	1197	426	0	0	0	11
circa	14493	-8.17	0	0	1993	51	0	0	0	5
resided	14488	-6.19	2	4	1209	698	0	0	0	7
fk	14488	-4.5	48	50	845	1	1	1	1	2
cambodia	14488	-9.1	0	0	1993	330	0	0	0	8
manning	14486	-5.65	4	4	1197	426	0	0	0	7
jesuit	14476	-8.66	0	1	260	46	0	0	0	6
promises	14476	-7.24	0	1	1506	440	0	0	0	8
encyclopedia	14471	-12.61	0	0	905	162	0	0	0	12
kw	14464	-5.32	36	39	247	1	1	1	1	2
sketches	14463	-8.08	0	0	2051	36	0	0	0	8
circuits	14462	-10.38	0	1	1993	51	0	0	0	8
destroyers	14461	-8.94	0	0	1141	409	0	0	0	10
alps	14460	-5.58	2	5	1427	150	0	0	0	4
oz	14460	-4.76	32	34	452	2	2	2	2	2
nc	14460	-5.82	78	88	475	2	2	2	2	2
safely	14453	-7.17	2	2	2051	183	0	0	0	6
botanical	14452	-8.73	0	0	1130	161	0	0	0	9
cement	14452	-5.96	0	1	1993	76	0	0	0	6
shores	14452	-5.72	10	12	2051	183	0	0	0	6
homeless	14446	-8.91	0	0	713	157	0	0	0	8
concentrate	14445	-8.94	0	0	1993	876	0	0	0	11
malay	14443	-5.81	0	1	1197	426	0	0	0	5
panthers	14442	-7.23	0	1	1506	291	0	0	0	8
hyde	14440	-5.6	2	2	713	19	0	0	0	4
rowing	14439	-5.57	2	4	1209	164	0	0	0	6
winters	14439	-6.07	2	3	537	123	0	0	0	7
lily	14437	-5.83	0	2	716	176	0	0	0	4
phi	14436	-4.74	16	20	1506	69	0	0	0	3
node	14431	-5.96	14	16	475	121	0	0	0	4
resistant	14427	-8.34	0	0	1209	698	0	0	0	9
gamma	14419	-6.87	0	1	626	108	0	0	0	5
peasants	14414	-8.3	0	1	1506	180	0	0	0	8
brandon	14412	-6.65	0	0	1130	181	0	0	0	7
televised	14411	-9.51	0	0	953	155	0	0	0	9
midwest	14408	-8.64	0	0	1197	180	0	0	0	7
finishes	14407	-7.97	0	0	845	151	0	0	0	8
normandy	14407	-8.09	0	0	475	121	0	0	0	8
inflation	14393	-6.91	0	0	747	469	0	0	0	9
ruby	14387	-6.49	2	3	1209	63	0	0	0	4
promotes	14385	-7.61	0	1	1506	440	0	0	0	8
dirt	14376	-5.37	8	9	1141	300	0	0	0	4
discussing	14369	-8.7	0	0	1141	300	0	0	0	10
leipzig	14369	-11.0	0	0	716	146	0	0	0	7
