word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
berposisi	750	-8.04	0	0	1627	752	0	0	0	9
kemiskinan	750	-9.95	0	0	1667	655	0	0	0	10
penghasilan	750	-8.85	0	0	2240	1205	0	0	0	11
statusnya	750	-8.84	0	0	1798	126	0	0	0	9
asean	750	-6.74	4	5	1084	82	0	0	0	5
tri	749	-3.62	28	39	1272	103	0	0	0	3
berdoa	749	-6.72	2	3	1627	752	0	0	0	6
memukul	749	-6.78	4	4	2321	1359	0	0	0	7
purwokerto	749	-12.69	0	0	2240	105	0	0	0	10
ginjal	749	-7.27	0	0	526	43	0	0	0	6
duo	749	-5.31	20	22	1545	54	0	0	0	3
tombak	748	-6.88	4	5	1272	98	0	0	0	6
mendadak	748	-7.07	0	0	2321	1359	0	0	0	8
pemujaan	748	-7.82	0	0	2240	1205	0	0	0	8
bendungan	748	-7.29	0	0	1627	752	0	0	0	9
karibia	748	-7.53	0	0	1667	353	0	0	0	7
standard	748	-8.34	0	1	1798	126	0	0	0	8
dihormati	747	-9.77	0	0	1545	1013	0	0	0	9
bermukim	747	-8.07	0	0	1627	752	0	0	0	8
realitas	747	-7.96	0	1	707	219	0	0	0	8
taufan	747	-7.73	2	2	1272	243	0	0	0	6
sarah	747	-5.01	24	27	1798	287	0	0	0	5
ratus	747	-5.71	2	3	707	174	0	0	0	5
usa	747	-4.72	22	33	234	25	0	0	0	3
kelahirannya	747	-9.26	0	0	1667	655	0	0	0	12
keshogunan	746	-11.35	0	0	1667	655	0	0	0	10
dikirimkan	745	-9.49	0	0	1545	1013	0	0	0	10
heart	745	-6.64	0	3	574	109	0	0	0	5
bertajuk	745	-8.3	0	0	1627	752	0	0	0	8
penampilannya	745	-9.69	0	0	2240	1205	0	0	0	13
filosofi	745	-10.05	0	0	388	81	0	0	0	8
dipinjamkan	745	-9.79	0	0	1545	1013	0	0	0	11
control	744	-7.86	2	2	699	157	0	0	0	7
wilson	744	-7.75	0	0	311	73	0	0	0	6
dipotong	744	-7.58	0	0	1545	1013	0	0	0	8
lipat	744	-5.97	2	3	646	123	0	0	0	5
old	744	-4.64	4	9	238	18	0	0	0	3
manapun	743	-7.87	0	0	2321	439	0	0	0	7
newton	743	-7.74	0	0	424	74	0	0	0	6
menangis	743	-6.77	0	0	2321	1359	0	0	0	8
rahman	743	-6.32	2	4	707	174	0	0	0	6
dj	743	-4.67	62	64	1545	8	8	8	8	2
goryeo	742	-8.83	0	0	526	60	0	0	0	6
sachsen	742	-10.5	0	0	1798	287	0	0	0	7
perdananya	742	-8.31	0	0	2240	1205	0	0	0	10
dipertahankan	742	-10.59	0	0	1545	1013	0	0	0	13
pencapaian	742	-9.0	0	0	2240	1205	0	0	0	10
style	742	-6.87	0	0	1798	126	0	0	0	5
permata	741	-5.99	4	4	2240	1205	0	0	0	7
tembakau	740	-8.09	0	0	1272	506	0	0	0	8
prusia	740	-7.14	0	2	2240	197	0	0	0	6
diukur	740	-7.0	2	2	1545	1013	0	0	0	6
ms	740	-4.19	88	102	2321	3	3	3	3	2
light	740	-5.97	10	11	646	123	0	0	0	5
pa	739	-3.0	86	108	2240	359	359	359	359	2
wina	739	-4.8	34	36	311	73	0	0	0	4
pemirsa	739	-8.25	0	0	2240	1205	0	0	0	7
kejayaan	739	-7.28	0	0	1667	655	0	0	0	8
pernikahannya	739	-10.31	0	0	2240	1205	0	0	0	13
penjuru	739	-6.55	0	0	2240	1205	0	0	0	7
apostolik	739	-10.92	0	0	1084	38	0	0	0	9
kan	739	-2.34	60	75	1667	353	0	0	0	3
penetapan	738	-7.7	0	0	2240	1205	0	0	0	9
stone	738	-6.02	4	7	1798	126	0	0	0	5
there	738	-6.0	6	7	1272	59	0	0	0	5
mempertimbangkan	738	-11.75	0	0	2321	1359	0	0	0	16
gila	737	-5.47	18	19	526	43	0	0	0	4
komoditas	737	-8.57	0	0	1667	282	0	0	0	9
mewarisi	737	-7.32	0	0	2321	1359	0	0	0	8
nasionalis	737	-9.74	0	0	424	134	0	0	0	10
brigade	737	-8.82	0	0	1627	84	0	0	0	7
asap	737	-5.82	14	16	1084	82	0	0	0	4
layaknya	736	-7.13	0	0	646	192	0	0	0	8
dimuat	736	-6.57	2	2	1545	1013	0	0	0	6
beasiswa	736	-8.98	0	0	1627	752	0	0	0	8
